0	Who is the mother of the director of film Polish-Russian War (Film)?
1	Which film came out first, Blind Shaft or The Mask Of Fu Manchu?
2	When did John V, Prince Of Anhalt-Zerbst's father die?
3	What is the award that the director of film Wearing Velvet Slippers Under A Golden Umbrella won?
4	Where was the director of film Ronnie Rocket born?
5	Who is Charles Bretagne Marie De La Trémoille's paternal grandfather?
6	Where was the father of Ștefan I. Nenițescu born?
7	Are North Marion High School (Oregon) and Seoul High School both located in the same country?
8	Which film has the director who was born later, El Extraño Viaje or Love In Pawn?
9	Who is the maternal grandfather of Antiochus X Eusebes?
10	Which film has the director died first, Crimen A Las Tres or The Working Class Goes To Heaven?
11	Which film has the director born first, Once A Gentleman or The Girl In White?
12	Which film has the director who died earlier, Il Seduttore or The Trial Of Joan Of Arc?
13	Where was the director of film Thomas Jefferson (Film) born?
14	Why did Grand Duke Kirill Vladimirovich Of Russia's wife die?
15	Where was the place of death of the director of film Beat Girl?
16	Who died first, Fleetwood Sheppard or George William Whitaker?
17	Which film has the director born first, The Raven'S Dance or Keïta! L'Héritage Du Griot?
18	When did Jean Martin (Singer)'s husband die?
19	Which film has the director who died earlier, Tangled Destinies or The Daltons' Women?
20	Which film was released earlier, Moment Of Danger or The Ballad Of Josie?
21	What nationality is the director of film World And Time Enough?
22	Which film has the director died earlier, Poker In Bed or The Machine To Kill Bad People?
23	Which film whose director is younger, Heads I Win, Tails You Lose or The Incredible Sarah?
24	Who is Catherine Of Pomerania, Countess Palatine Of Neumarkt's father-in-law?
25	Who is Marie Zéphyrine Of France's paternal grandmother?
26	Which film has the director died earlier, Condemned Women or Faces In The Dark?
27	Who is the spouse of the director of film Eden And After?
28	Where was the place of death of Anastasia Of Serbia's husband?
29	Are Fire In Hell and The Tiger: An Old Hunter'S Tale from the same country?
30	Which film was released more recently, Lo Zappatore or Placer Sangriento?
31	Was Şemsettin Baş or Gwenc'Hlan Le Scouëzec born first?
32	Which film has the director born later, Bhoomiyude Avakashikal or The Majesty Of The Law?
33	Who is Cornelia (Wife Of Caesar)'s child-in-law?
34	Why did John Middleton Murry's wife die?
35	Who is the paternal grandfather of Taj Al-Dawla?
36	Do both films Payment On Demand and My Cousin From Warsaw have the directors from the same country?
37	What is the place of birth of the director of film And The Spring Comes?
38	Who died first, Madame Pasca or James A. Donohoe?
39	Who was born later, D'Arcy Coulson or Thomas William Adams?
40	Are Simonds Catholic College and Saginaw High School (Texas) both located in the same country?
41	Which country Prince Nikolaus Wilhelm Of Nassau's mother is from?
42	Which film whose director was born first, 45 Fathers or The Intended?
43	Who is the paternal grandfather of Alexandre Berthier, 3Rd Prince Of Wagram?
44	Where was the husband of Caterina Visconti born?
45	Which film has the director who was born later, A Quiet Place In The Country or When Were You Born?
46	Who was born first, John Beach or Gordon Persons?
47	Which film has the director born earlier, The House By The Cemetery or Charlie Chan In Honolulu?
48	Who is the child of the director of film La Leona (Film)?
49	Who is Blanche Of Portugal (1259–1321)'s paternal grandmother?
50	Who lived longer, Giuseppe Cesari or Nicos Poulantzas?
51	Are director of film Nights On The Road and director of film Swann In Love (Film) from the same country?
52	Who is older, Aryeh Ben-Eliezer or Jason Pociask?
53	Where does the director of film Man At Bath work at?
54	Who is Arthur Gore, 2Nd Earl Of Arran's paternal grandfather?
55	Are both Kaufland and Otrag located in the same country?
56	Which film came out earlier, Aanaval Mothiram or Heroes Of The Street?
57	Where was the father of Lord Patrick Crichton-Stuart born?
58	Which country the director of film Daadagiri is from?
59	Where was the wife of Douglas Leiterman born?
60	What is the place of birth of the performer of song Who...?
61	Where was the place of death of the director of film Mole Men Against The Son Of Hercules?
62	Where was the father of Alexandre Gaydamak born?
63	Which film has the director who died earlier, Toen 'T Licht Verdween or Boum Sur Paris?
64	Who is Gaston, Duke Of Orléans's paternal grandmother?
65	Where was the director of film The Half-Way Girl born?
66	Who is the father-in-law of Sophia Of Wittelsbach?
67	Where was the place of death of Lambert I, Count Of Louvain's father?
68	Where was the director of film Highway Dragnet born?
69	Where did Prince Gustav Of Thurn And Taxis (1848–1914)'s mother die?
70	What is the award that the performer of song Sunday Papers earned?
71	Which film has the director born first, Antonieta or Dodging The Dole?
72	Are both Nikolsk Airport and Svobodny Airport located in the same country?
73	Who is the maternal grandfather of Amadeus Vii, Count Of Savoy?
74	Are both businesses, Telus and Ztr Control Systems, located in the same country?
75	Do both films, Dial M For Murder and Marius (1931 Film), have the directors who are from the same country?
76	Who is older, Dyson Parody or Gene Watson?
77	Are both directors of films The Princess Bride (Film) and I Never Sang For My Father from the same country?
78	When did Prince John Konstantinovich Of Russia's mother die?
79	Which country Audofleda's husband is from?
80	What is the place of birth of the director of film Letter To The King?
81	Are both bands, Snowman (Band) and Jessamine (Band), from the same country?
82	Where was the performer of song God (John Lennon Song) born?
83	Which film has the director who died earlier, Captain Kidd And The Slave Girl or Relax Freddie?
84	Which song was released more recently, Go Ahead And Break My Heart or Knee Deep In My Heart?
85	Which film has the director who died later, The Fatal Mistake or The Devil'S Hairpin?
86	Who is Maria Luisa Of Savoy's father-in-law?
87	Who is the paternal grandfather of Kujō Yoritsugu?
88	What is the place of birth of the director of film Marianela (1940 Film)?
89	Which film came out first, Repeated Absences or She Wore A Yellow Ribbon?
90	Who lived longer, Edward Dearle or Michael Doeberl?
91	Where does Karin Stoltenberg's husband work at?
92	Where was the director of film Lettre Ouverte born?
93	Who is William Ii, Count Of Flanders's paternal grandmother?
94	What is the place of birth of Clara Novello's father?
95	Which film came out earlier, Emmy Of Stork'S Nest or Indira Vizha?
96	Which film came out first, Celine: Through The Eyes Of The World or Dilan 1991?
97	Who was born earlier, Silas Hardy or Lee Mantle?
98	Where was the place of burial of Albert Frederick, Duke Of Prussia's mother?
99	Where was the place of death of Juan Carlos Gumucio's wife?
100	Who is the father of the director of film Gramps Is In The Resistance?
101	What is the place of birth of the performer of song Heaven (Namie Amuro Song)?
102	What nationality is Philip Of Ibelin (1180–1227)'s mother?
103	Who was born later, Joseph J. Magliocco or Viktoriya Zeynep Güneş?
104	When is the lead guitarist of List Of The Dillinger Escape Plan Band Members's birthday?
105	Where does Huma Abedin's husband work at?
106	Are the movies About A Wife, A Dream And Another... and The Doolins Of Oklahoma, from the same country?
107	Which film came out earlier, Out Of The Rain or Les Résultats Du Féminisme?
108	Where did Giacomo Feo's wife die?
109	What is the place of birth of the director of film Swedenhielms?
110	Which country Jan Baptist Van Rensselaer's father is from?
111	Which film was released earlier, Sathyavan Savithri or Kids Of The Round Table?
112	Where did Gigi Causey's husband graduate from?
113	What nationality is Geodeung Of Geumgwan Gaya's mother?
114	Which film was released earlier, Xenoa or Divorce Invitation?
115	What is the cause of death of Alex Matthiessen's father?
116	What is the place of birth of Remigius Of Rouen's father?
117	When did Lord Patrick Crichton-Stuart's father die?
118	Which film has the director who was born earlier, It'S A Joke, Son! or The Thirty Nine Steps (1978 Film)?
119	Are both directors of films The Slayer (Film) and Moscow Heat from the same country?
120	Which school was established first, Whitehorse Manor Junior School or Sabawoon Rehabilitation Centre?
121	Are Little Sachigo Lake and Holden Lake located in the same country?
122	Who is Henriette Of France (1727–1752)'s maternal grandfather?
123	Which film has the director born first, Leave It To Henry or The Last Night Of Scheherazade?
124	What is the date of death of Gero Ii, Margrave Of The Saxon Ostmark's father?
125	Are Tomskoye, Amur Oblast and Pleshkovo located in the same country?
126	Which film came out earlier, I Am Breathing or Ulti Ganga?
127	Who was born later, Levon Julfalakyan or Charlotte Spurkeland?
128	Who is the father of the director of film Red 2 (Film)?
129	When was the company that published American Scientist founded?
130	What is the place of birth of Jo Planckaert's father?
131	What is the place of birth of Gwilym Lloyd George's father?
132	What is the place of birth of James Douglas, 3Rd Earl Of Angus's father?
133	What nationality is the director of film They Call It Love?
134	What is the place of birth of Zhanna Nemtsova's father?
135	Which film has the director born earlier, Santa Fe Uprising or Trainer And Temptress?
136	Which film has the director who was born earlier, Adam'S Rib or Thendral Veesum?
137	Which country the composer of film Continental, A Film Without Guns is from?
138	Where was the director of film Age-Old Friends born?
139	Which one was established first, Noerr or Korn Ferry?
140	Where was the father of Eleonora Di Garzia Di Toledo born?
141	What is the award that the director of film The Last Night Of The Barbary Coast got?
142	Who is Prince Nicolas, Duke Of Ångermanland's mother?
143	Who is the paternal grandmother of Princess Augusta Of Waldeck-Pyrmont?
144	Where does the director of film The Marquise Of O (Film) work at?
145	Which film whose director is younger, Joe Palooka In Fighting Mad or Figaro-Ci, Figaro-Là?
146	Which film was released first, Ekam – Son Of Soil or Farber'S Nerve?
147	Which country Mohammed Al-Modiahki's wife is from?
148	Do both films: Gammat Jammat and Ready (2011 Film) have the directors from the same country?
149	Who is Philip Of Sicily's father?
150	Who was born later, Gideon Johnson Pillow or Holm Jølsen?
151	Which film has the director who died first, The Crime Doctor'S Courage or Vasantha Sena (1967 Film)?
152	Where did the director of film My Heidelberg, I Can Not Forget You die?
153	Which film was released earlier, Tiger Of The Seven Seas or My Wife'S Lodger?
154	Do Alice Mary Dowd and Richard N. Palmer have the same nationality?
155	Who is the father of the director of film Wonders Of The Sea 3D?
156	Which film has the director died first, Le Guignolo or Knights Of The Range?
157	Who died later, Narcís Ventalló or H. Verlan Andersen?
158	Which film was released first, The Beginning Or The End or Hold Back The Night?
159	Who is younger, Aneta Hladíková or René Poupardin?
160	Where was the place of death of Prince Christopher Of Greece And Denmark's father?
161	What is the place of birth of the director of film Guilty Of Treason?
162	Where did Charles Stewart, 3Rd Duke Of Richmond's father graduate from?
163	What is the place of birth of the performer of song I Wish (Gabrielle Song)?
164	When was the director of film Jinpa born?
165	Which film whose director is younger, Kalippava or A Couch In New York?
166	Which film has the director who died earlier, The Love Charm or The Constant Woman?
167	Which film came out earlier, Dis-Moi Qui Tuer or Under The Hawthorn Tree (Film)?
168	Where was the place of death of Tamatoa Vi's father?
169	Where did the director of film Old Man Drinking A Glass Of Beer die?
170	What is the date of death of Henry St John, 18Th Baron St John Of Bletso's father?
171	Who is younger, Justin Paul or Helly Shah?
172	Who was born first out of Marco De Luigi and Fabio Maistro?
173	Which film has the director who died earlier, Guns And Guitars or To The Victor?
174	Which film has the director who died later, His Last Haul or The Falcon In San Francisco?
175	Who is Edward De Vere, 17Th Earl Of Oxford's paternal grandfather?
176	Where was the place of death of Alexander Carl Otto Westphal's father?
177	Which film has the director born earlier, Jayam Manade or Bulldog Drummond'S Revenge?
178	Which film has the director who is older, The Gamecock (Film) or Monster A Go-Go?
179	Where was the place of death of Alessandro Vitelli's father?
180	Where was the performer of song Bag Skyerne born?
181	Are both directors of films 16 To Life and Saved By The Belles from the same country?
182	Where was the mother of Francis Ii Of France born?
183	Who was born later, Marc De Clerck or Wiesław Perszke?
184	Which film has the director born later, Jesse James' Women or Ride Lonesome?
185	What nationality is the director of film Madeleine (1950 Film)?
186	Which film has the director died first, Edge Of Doom or A Mother'S Secret?
187	Which song was released earlier, 1990-Sick (Get 'Em All) or Who'S Laughing Now (Song)?
188	Where did the director of film Desolation Angels (1995 Film) graduate from?
189	When did Richard Annesley, 2Nd Earl Annesley's father die?
190	Which film has the director died earlier, Lemonade Joe or Bountiful Summer?
191	What is the date of death of Conan Ii, Duke Of Brittany's mother?
192	When was the director of film Reykjavík-Rotterdam born?
193	What is the place of birth of Eiludd Powys's father?
194	Where was the director of film At The End Of The Tunnel born?
195	When was Ferdinand Iii Of Limburg Stirum's father born?
196	Which country the director of film Ulzhan is from?
197	Who is Prince Franz De Paula Of Liechtenstein's paternal grandfather?
198	What is the place of birth of Samir Rifai's father?
199	Who is the paternal grandmother of Archduchess Dolores Of Austria?
200	Which film has the director died first, Two For Tonight or Light Over Russia?
201	What is the place of birth of the director of film Peter'S Friends?
202	Where was the composer of film Love Story 1999 born?
203	Who is the father of Beltrán Vélez De Guevara, Marquis Of Campo Real?
204	Which film whose director is younger, Jeedar or The Rebel Set?
205	Where was the mother of Antonio Flores born?
206	What is the place of birth of the performer of song Down Ass Bitch?
207	What is the place of birth of Empress Xu (Ming Dynasty)'s husband?
208	Which film came out earlier, Niyoti or Angali Pangali?
209	Which country Aleksandra Marianna Wiesiołowska's father is from?
210	Which country Tivala's father is from?
211	Who is the paternal grandmother of King Kang Of Zhou?
212	Which film has the director who died first, The Face Of Fu Manchu or The Hidden One?
213	What is the place of birth of the director of film Double Or Nothing (1940 Film)?
214	Which film whose director was born first, The Great Flamarion or The Hollars?
215	Do both directors of films Dangerous To Know and Les Côtelettes have the same nationality?
216	Are both villages, Mavrolithari and Ampelakia, Evros, located in the same country?
217	Where was the place of death of the director of film Kathputli (1971 Film)?
218	Where did the director of film Ręce Do Góry study?
219	Where was the place of death of Suzanne Farrington's mother?
220	What nationality is the director of film Name The Man?
221	Do Kreesha Turner and Samantha Jo share the same nationality?
222	What is the place of birth of the director of film Aurora (2018 Film)?
223	Which film has the director born later, Befikre or American Sniper?
224	When is Prince Napoléon Bonaparte's father's birthday?
225	Which film was released more recently, Toolbox Murders or I Met You In Naples?
226	Where was the place of death of the composer of song How Long Has This Been Going On??
